epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,254.702,0.8964,1.97201,1.26074,0.75776,0.51441,0.68327,0.49178,1.68418,1.60548,1.3802,2.82082e-05,2.82082e-05,2.82082e-05
40,260.996,0.72958,1.09624,1.07984,0.75776,0.51441,0.68327,0.49178,1.68418,1.60548,1.3802,2.84911e-05,2.84911e-05,2.84911e-05
41,267.387,1.1108,1.98409,1.48118,0.62374,0.57815,0.65577,0.44542,1.69801,1.65514,1.38472,2.87504e-05,2.87504e-05,2.87504e-05
42,273.598,0.88246,1.16617,1.26483,0.62374,0.57815,0.65577,0.44542,1.69801,1.65514,1.38472,2.89861e-05,2.89861e-05,2.89861e-05
43,279.913,0.69299,0.84547,1.03796,0.61788,0.49962,0.58254,0.38577,1.69529,1.70981,1.38709,2.91983e-05,2.91983e-05,2.91983e-05
44,286.182,0.84493,1.12379,1.21771,0.61788,0.49962,0.58254,0.38577,1.69529,1.70981,1.38709,2.93869e-05,2.93869e-05,2.93869e-05
45,294.548,0.64331,0.99257,1.16892,0.78393,0.50106,0.56014,0.35607,1.69468,1.75666,1.39392,2.9552e-05,2.9552e-05,2.9552e-05
46,301.494,0.71246,0.93554,1.02886,0.78393,0.50106,0.56014,0.35607,1.69468,1.75666,1.39392,2.96935e-05,2.96935e-05,2.96935e-05
47,308.797,0.74977,0.94341,1.05031,0.77197,0.5,0.52465,0.32417,1.69625,1.81828,1.39869,2.98114e-05,2.98114e-05,2.98114e-05
48,315.139,0.71606,0.84992,1.15462,0.77197,0.5,0.52465,0.32417,1.69625,1.81828,1.39869,2.99058e-05,2.99058e-05,2.99058e-05
49,321.546,1.03455,1.30444,1.42552,0.7808,0.51,0.52522,0.31602,1.709,1.84381,1.40922,2.99766e-05,2.99766e-05,2.99766e-05
50,327.91,0.94551,1.55808,1.36358,0.7808,0.51,0.52522,0.31602,1.709,1.84381,1.40922,3.00238e-05,3.00238e-05,3.00238e-05
51,334.295,0.6645,0.89869,1.113,0.78464,0.49945,0.52285,0.32256,1.72326,1.89983,1.41752,3.00475e-05,3.00475e-05,3.00475e-05
52,340.581,0.87025,1.81595,1.41628,0.78464,0.49945,0.52285,0.32256,1.72326,1.89983,1.41752,3.00476e-05,3.00476e-05,3.00476e-05
53,347.018,0.87041,0.81805,1.28255,0.78464,0.49945,0.52285,0.32256,1.72326,1.89983,1.41752,3.00242e-05,3.00242e-05,3.00242e-05
54,353.44,0.85391,0.91729,1.19726,0.79332,0.49892,0.52495,0.3067,1.734,1.9376,1.426,2.99772e-05,2.99772e-05,2.99772e-05
55,359.783,0.78272,0.71424,1.19237,0.79332,0.49892,0.52495,0.3067,1.734,1.9376,1.426,2.99066e-05,2.99066e-05,2.99066e-05
56,366.978,0.90771,1.06852,1.32819,0.79332,0.49892,0.52495,0.3067,1.734,1.9376,1.426,2.98125e-05,2.98125e-05,2.98125e-05
57,373.413,0.71387,0.80659,1.11954,0.79789,0.49916,0.5251,0.30414,1.74439,1.95841,1.42909,2.96948e-05,2.96948e-05,2.96948e-05
58,379.803,0.69188,0.85459,1.09218,0.79789,0.49916,0.5251,0.30414,1.74439,1.95841,1.42909,2.95535e-05,2.95535e-05,2.95535e-05
59,386.087,0.63905,0.80082,1.07899,0.79789,0.49916,0.5251,0.30414,1.74439,1.95841,1.42909,2.93887e-05,2.93887e-05,2.93887e-05
60,392.535,0.50324,0.85411,0.95444,0.80284,0.49957,0.52499,0.25445,1.7888,2.0124,1.45131,2.92003e-05,2.92003e-05,2.92003e-05
61,398.876,0.7925,0.79898,1.2701,0.80284,0.49957,0.52499,0.25445,1.7888,2.0124,1.45131,2.89884e-05,2.89884e-05,2.89884e-05
62,405.173,0.87285,0.97175,1.2971,0.80284,0.49957,0.52499,0.25445,1.7888,2.0124,1.45131,2.87529e-05,2.87529e-05,2.87529e-05
63,411.66,0.88896,0.75549,1.38671,0.80882,0.49841,0.52392,0.25056,1.78648,2.03047,1.44616,2.84938e-05,2.84938e-05,2.84938e-05
64,417.995,0.72202,1.02684,1.13002,0.80882,0.49841,0.52392,0.25056,1.78648,2.03047,1.44616,2.82112e-05,2.82112e-05,2.82112e-05
65,424.31,0.59255,0.71317,1.09327,0.80882,0.49841,0.52392,0.25056,1.78648,2.03047,1.44616,2.7905e-05,2.7905e-05,2.7905e-05
66,430.666,0.9971,1.269,1.24745,0.80651,0.49854,0.52411,0.24686,1.82712,2.072,1.46555,2.75753e-05,2.75753e-05,2.75753e-05
67,436.993,0.89471,1.20929,1.2681,0.80651,0.49854,0.52411,0.24686,1.82712,2.072,1.46555,2.7222e-05,2.7222e-05,2.7222e-05
68,443.302,0.92605,1.28057,1.42777,0.80651,0.49854,0.52411,0.24686,1.82712,2.072,1.46555,2.68451e-05,2.68451e-05,2.68451e-05
69,449.721,0.64127,0.65063,1.02907,0.86143,0.40795,0.42883,0.24817,1.86785,2.12484,1.48953,2.64447e-05,2.64447e-05,2.64447e-05
70,456.063,1.14513,1.1052,1.49452,0.86143,0.40795,0.42883,0.24817,1.86785,2.12484,1.48953,2.60207e-05,2.60207e-05,2.60207e-05
71,462.424,0.75457,0.6348,1.15831,0.86143,0.40795,0.42883,0.24817,1.86785,2.12484,1.48953,2.55731e-05,2.55731e-05,2.55731e-05
72,468.766,0.69268,1.02106,1.11134,0.85281,0.40745,0.42788,0.25236,1.84074,2.15705,1.4927,2.5102e-05,2.5102e-05,2.5102e-05
73,475.124,0.59141,0.63892,0.95851,0.85281,0.40745,0.42788,0.25236,1.84074,2.15705,1.4927,2.46073e-05,2.46073e-05,2.46073e-05
74,481.425,0.77285,0.88579,1.24134,0.85281,0.40745,0.42788,0.25236,1.84074,2.15705,1.4927,2.40891e-05,2.40891e-05,2.40891e-05
75,487.848,0.83863,0.84094,1.38476,0.85311,0.40625,0.42534,0.25118,1.8099,2.19022,1.49994,2.35472e-05,2.35472e-05,2.35472e-05
76,494.191,0.59783,0.70947,1.07014,0.85311,0.40625,0.42534,0.25118,1.8099,2.19022,1.49994,2.29819e-05,2.29819e-05,2.29819e-05
77,500.601,0.79228,1.00101,1.20608,0.85311,0.40625,0.42534,0.25118,1.8099,2.19022,1.49994,2.23929e-05,2.23929e-05,2.23929e-05
78,506.995,0.73525,0.80337,1.13669,0.85853,0.40663,0.4252,0.25074,1.84039,2.22189,1.52813,2.17805e-05,2.17805e-05,2.17805e-05
79,513.334,0.82046,0.78722,1.20197,0.85853,0.40663,0.4252,0.25074,1.84039,2.22189,1.52813,2.11444e-05,2.11444e-05,2.11444e-05
80,519.62,0.88662,0.71818,1.30886,0.85853,0.40663,0.4252,0.25074,1.84039,2.22189,1.52813,2.04848e-05,2.04848e-05,2.04848e-05
81,525.896,0.66501,0.58353,1.16544,0.8622,0.40653,0.4324,0.23128,1.85497,2.21084,1.54321,1.98016e-05,1.98016e-05,1.98016e-05
82,532.268,0.66657,0.66479,1.17678,0.8622,0.40653,0.4324,0.23128,1.85497,2.21084,1.54321,1.90949e-05,1.90949e-05,1.90949e-05
83,538.621,0.6117,0.97776,1.07318,0.8622,0.40653,0.4324,0.23128,1.85497,2.21084,1.54321,1.83646e-05,1.83646e-05,1.83646e-05
84,545.012,0.62409,0.70849,0.98503,0.86693,0.40797,0.46912,0.23906,1.82881,2.1891,1.52433,1.76107e-05,1.76107e-05,1.76107e-05
85,551.294,0.56972,0.58758,1.06357,0.86693,0.40797,0.46912,0.23906,1.82881,2.1891,1.52433,1.68333e-05,1.68333e-05,1.68333e-05
86,557.634,0.8344,0.95745,1.35624,0.86693,0.40797,0.46912,0.23906,1.82881,2.1891,1.52433,1.60323e-05,1.60323e-05,1.60323e-05
87,563.944,0.52889,0.71693,1.07268,0.86693,0.40797,0.46912,0.23906,1.82881,2.1891,1.52433,1.52077e-05,1.52077e-05,1.52077e-05
88,570.727,0.69668,0.90898,1.13464,0.87597,0.40876,0.43,0.22372,1.81549,2.19029,1.52177,1.43596e-05,1.43596e-05,1.43596e-05
89,577.085,0.52684,0.63245,1.05435,0.87597,0.40876,0.43,0.22372,1.81549,2.19029,1.52177,1.34879e-05,1.34879e-05,1.34879e-05
90,583.277,0.60025,0.54755,1.01038,0.87597,0.40876,0.43,0.22372,1.81549,2.19029,1.52177,1.25927e-05,1.25927e-05,1.25927e-05
91,589.667,0.54593,0.51358,1.02224,0.87597,0.40876,0.43,0.22372,1.81549,2.19029,1.52177,1.16739e-05,1.16739e-05,1.16739e-05
92,596.142,0.53549,0.54571,0.85837,0.87564,0.40978,0.45991,0.25829,1.80126,2.184,1.51418,1.07315e-05,1.07315e-05,1.07315e-05
93,602.382,0.61449,0.60654,1.08748,0.87564,0.40978,0.45991,0.25829,1.80126,2.184,1.51418,9.76562e-06,9.76562e-06,9.76562e-06
94,608.676,0.44244,0.44774,0.8859,0.87564,0.40978,0.45991,0.25829,1.80126,2.184,1.51418,8.77613e-06,8.77613e-06,8.77613e-06
95,614.956,0.45339,0.4387,0.90182,0.87564,0.40978,0.45991,0.25829,1.80126,2.184,1.51418,7.76308e-06,7.76308e-06,7.76308e-06
96,621.28,0.56747,0.47277,0.97247,0.8854,0.40442,0.45801,0.26134,1.82668,2.18515,1.5331,6.72648e-06,6.72648e-06,6.72648e-06
97,627.527,0.56315,0.55459,0.90334,0.8854,0.40442,0.45801,0.26134,1.82668,2.18515,1.5331,5.6663e-06,5.6663e-06,5.6663e-06
98,633.718,0.59796,0.54165,0.98376,0.8854,0.40442,0.45801,0.26134,1.82668,2.18515,1.5331,4.58257e-06,4.58257e-06,4.58257e-06
99,640.006,0.60925,0.52565,1.05244,0.8854,0.40442,0.45801,0.26134,1.82668,2.18515,1.5331,3.47528e-06,3.47528e-06,3.47528e-06
100,646.281,0.42153,0.48287,0.95196,0.81272,0.5089,0.5284,0.28633,1.8052,2.09009,1.50238,2.34442e-06,2.34442e-06,2.34442e-06
